index,analysis_type,feature_set,detail,features,n_features_mean,n_features_std,top25_threshold_train_mean,top25_threshold_train_std,positive_rate_test_mean,positive_rate_test_std,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_accuracy_mean,balanced_accuracy_std
0,baseline,full_features,,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",21.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.8010067660569309,0.010670145684423735,0.8919455777881466,0.020857958796410607,0.7257746174903333,0.03561241392372935,0.6680628826423218,0.052458135488066,0.796857122907557,0.028996623213795675,0.8375569350155745,0.017446299184705954
1,demographics_subset,demo_Avg_Household_Size,Avg_Household_Size,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size",16.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.7983580434417334,0.013637582914792059,0.8904507806882137,0.0220579652730611,0.7141715641532017,0.03718861976595856,0.6466217955790945,0.052661401298253085,0.7995337224146774,0.02448609737783667,0.8325084920005329,0.02076615204216366
2,demographics_subset,demo_Avg_Household_Size_Daytime_Population_Pressure,"Avg_Household_Size, Daytime_Population_Pressure","previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size, Daytime_Population_Pressure",17.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.7980215003177281,0.013773241451658803,0.890406455975616,0.02213335749439152,0.7128052073929314,0.03595702200656468,0.6460014499416583,0.05274298739626259,0.7973115001924551,0.023663082992930008,0.8314118959429322,0.01919869389828505
3,demographics_subset,demo_Avg_Household_Size_Unemployment_Rate,"Avg_Household_Size, Unemployment_Rate","previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size, Unemployment_Rate",17.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.7964230330046851,0.014196664232515576,0.8893082701956285,0.020994725886252227,0.7131245596787592,0.03833169140134895,0.6525500667556743,0.051406034235951865,0.7880225385630679,0.030734584271543387,0.8296148168741455,0.021222655006970507
4,demographics_subset,demo_Avg_Household_Size_Unemployment_Rate_Daytime_Population_Pressure,"Avg_Household_Size, Unemployment_Rate, Daytime_Population_Pressure","previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size, Unemployment_Rate, Daytime_Population_Pressure",18.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.7972069465837134,0.014207600772396104,0.8893271887843059,0.020529849923670636,0.7133768802976796,0.040391601551025585,0.6546273099008786,0.05418955248112807,0.7858948789885998,0.03378170432070893,0.8292478511984097,0.022967412747636293
5,demographics_subset,demo_Avg_Household_Size_Unemployment_Rate_UrbanRural_Class,"Avg_Household_Size, Unemployment_Rate, UrbanRural_Class","previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class",18.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.7986928734221478,0.012149005347846267,0.8899685648794126,0.021711277924219532,0.7176367848076909,0.041788789026466676,0.6588728405550835,0.058464794798567525,0.7902268264900265,0.03091733212233935,0.832061818400861,0.023058660626891107
6,demographics_subset,demo_Avg_Household_Size_Unemployment_Rate_UrbanRural_Class_Daytime_Population_Pressure,"Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure","previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure",19.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.7990488159043696,0.011860696511655564,0.8901674122158368,0.020865044819205047,0.7163935218757553,0.038564497387470864,0.6597956789704362,0.05357849400698407,0.7859715073410902,0.03611931645378193,0.8306366308649172,0.022774132674225643
7,demographics_subset,demo_Avg_Household_Size_UrbanRural_Class,"Avg_Household_Size, UrbanRural_Class","previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size, UrbanRural_Class",17.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.8009222777774705,0.012224135753370625,0.8913373745515368,0.021963927925900666,0.7210846929997141,0.039638297496856496,0.6551896556459503,0.055381497762658695,0.8041314235641026,0.03205784762675755,0.8369131330555666,0.022652504903378525
8,demographics_subset,demo_Avg_Household_Size_UrbanRural_Class_Daytime_Population_Pressure,"Avg_Household_Size, UrbanRural_Class, Daytime_Population_Pressure","previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Avg_Household_Size, UrbanRural_Class, Daytime_Population_Pressure",18.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.7998660238521422,0.013050359510369283,0.891047603375805,0.021985151636109104,0.7195168235839065,0.037806311702346974,0.6524370161286048,0.05185250193213011,0.8041314235641026,0.03205784762675755,0.8362162689440684,0.02199992102483636
9,demographics_subset,demo_Daytime_Population_Pressure,Daytime_Population_Pressure,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, previous_total_weight, days_between_visits, coastline_cleaned, width_length, Daytime_Population_Pressure",16.0,0.0,0.08356643945858648,0.0035548071224864664,0.23483238064017714,0.015298888549094562,0.799465553376122,0.013905062764579475,0.8909859809695314,0.022377464150684204,0.7176469359330736,0.041040995320723986,0.6510446521987558,0.057381126756814914,0.8017380103416359,0.026779859661199525,0.8346852216889007,0.02246538952589316
